Id,Breed,State,Places,Longitude,Latitude,Population,Synonyms,Origin,Major utility,Comments on utility,Comments on breeding tract,Adaptability to environment,Management system,Mobility,Feeding of adults,Comments on Management,Colour,Horn shape and size,Visible characteristics,Height (avg. cm.),Body Length (avg. cm.),Heart girth (avg. cm.),Body weight (avg. kg.),Birth weight (avg. kg.),Litter size born,Age at first parturition (months),Parturition interval (months),Milk yield per lactation (kg),Milk Fat (%),Any Peculiarity of the breed
301,Amritmahal,Karnataka,"Davanagere,Tumkur,Shimoga,Hassan,Chitradurga,Chikmagalur",74.4 - 78.4,11.36 - 15.,"{""1997"": ""71159"", ""2001"": ""108197"", ""2013"": ""105343""}",Doddadana  Jawari Dana  Number Dana,Originated from a herd established by the ruler of Mysore state between 1572 and 1636 A D. Amrit means milk and Mahal means house; the breed was developed from draft breed of southern India with an objective to increase the milk productivity.,Work - Transport and Draught,Famous draught breed known for its power and endurance. Animals are fiery and active. Bullocks are specially suited for trotting and quick transportation.,,,Extensive,Stationary,Grazing,Animals are kept in open all the time. Trees are the only source of protection from sun and rain.This weeds out the weak animals automatically. Herd size is small.Various crops are grown in black soil. In North  cotton  millets  sorghum and oilseeds are extensively grown. In South  sugarcane and paddy are grown.,,Horns are long. Emerge from the top of the poll fairly close together in backward and upward direction  turn in and end in sharp black points - sometime touching each other.,Long head tappering towards muzzle; long horns.,,"{""male"": 134.1, ""female"": 133.6}","{""male"": 156.0, ""female"": 149.4}","{""male"": 500.0, ""female"": 318.0}","{""male"": 20.8, ""female"": 19.9}",,50.65,14.14,572.0,,
302,Bachaur,Bihar,"Madhubani,Darbhanga,Sitamarhi",85. - 85.6,26. - 26.6,"{""2001"": ""12947"", ""2013"": ""741432""}",Bhutia,This breed has close simmilarity to the Hariana breed.,Work - Draught,Bullocks can work for long periods without any break.,,,Extensive,Stationary,Grazing and Fodder,Maintained by Koir and Ahir communities. Cattle are grazed in the nearby grassland area. Cows having male calves are not milked at all and the calf is allowed to take all the milk. Males are castrated at the time of eruption of horns. The males are traded everyday in small Hatia. Mustard sown with high seed rate is gradually thined and used as green fodder.,,Horns are small and stumpy  curving outward  upward and downward.,Medium sized compact animals with straight back. Forehead flat or slightly convex.,,"{""male"": 117.4, ""female"": 109.79}","{""male"": 148.58, ""female"": 140.22}","{""male"": 270.0, ""female"": 243.0}","{""male"": 19.7, ""female"": 18.8}",,48.37,12.5,347.0,5.0,Known for draught qualities and ability to thrive on poor fodder resources.
343,Badri,Uttarakhand,"Chamoli,Uttarkashi,Rudraprayag,Tehri Garhwal,Pauri Garhwal,Champawat,Pithoragarh,Bageshwar,Almora,Nanital",77.34 - 81.2,28.43 - 31.27,"{""2007"": ""1600000""}",Pahadi,Indigenous. Found in the hilly regions of Uttarakhand,Milk and Draught,Reared mainly for bullock power  milk and manure,Altitude ranged from 1200 to 2200 msl and sunshine from 6 to 10 hours per day. Major crops grown in the area are wheat  rice  arhar  soyabean  bajra  barley  potato  etc.,,Semi-Intensive,Stationary,Grazing and Fodder,Animals are stall fed in the morning and in the night  and grazed from afternoon to evening. These are usually housed at night under the dwelling-house or in separate cowsheds. Fodder consists of mainly of grass carried from hillside by women.,,Curved -upward and inward. 10-22cm in males and 15-25cm in females,Small sized  active and sure-footed. Straight forehead with prominent poll  medium to large hump. Udder small and tucked up with the body.,,"{""male"": 115.2, ""female"": 116.3}","{""male"": 145.2, ""female"": 140.5}","{""male"": 257.0, ""female"": 231.0}","{""male"": 17.2, ""female"": 16.2}",1.0,49.0,13.4,632.0,4.0,
303,Bargur,Tamilnadu,Erode,77.20 - 77.40,11.40 - 12.,"{""2013"": ""14154""}",,,Work - Draught,Animals are very sensitive and fiery in disposition and are difficult to train.They are light in built and are developed mainly for carrying out agricultural operations in the uneaven and hilly terrain. Cattle of this breed are unsurpassed in speed and endurance in trotting.,This breed is found around Bargur hills in Bhavani taluk of Erode district.,,Extensive,Stationary,Grazing,Animals are reared in the forest area in semi wild conditions and are penned in enclosures called pattys. They are tended by hired local tribal labours called lingaiys. Each patty has 50 to 200 heads of cattle. They remain in the interior of forest and graze on existing vegetation. They are brought back to villages for harvest operations only. All these cattle are driven to salt licks 43 Km north of Bargur by about January for a few days and then driven to forest again.,,Horns are closer at root and are inclined backward  outward and upward with a forward curve; sharp at the tip. Medium in size and light brown in colour.,Brown colour with white markings and light brown colour of horns.,,"{""male"": 177.0, ""female"": 121.0}","{""male"": 156.0, ""female"": 124.0}","{""male"": 340.0, ""female"": 295.0}","{""male"": 18.9, ""female"": 18.1}",,,17.0,350.0,,
341,Belahi,Chandigarh,"Chandigarh,Yamunanagar,Panchkula,Ambala",76.48 - 77.18,30.44 - 30.70,"{""2013"": ""25000""}",Morni  Desi,Local cattle named on body colour pattern. Term ‘Belaha’ is used to describe mixture of colours,Milk  Draught and Manure,Gujjars known as Langarias  are maintaining the breed for generations,Breeding tract lies in the foothills of Shivalik in Haryana,,Extensive,Nomadic,Grazing Fodder and Concentrate,Housed in open during migration. During winter months when not migrating (native villages) animals are housed mostly in pucca houses.,,Sickle shaped  Curved upwards and inwards. Average size 27.2cm in males and 25.4cm in females,Medium sized animals. Uniform but distinct body colour pattern having reddish brown body  and white face and extremities and different degrees of white colour on ventral part of body. Head is straight and broad with prominent poll.,,"{""male"": 124.5, ""female"": 116.67}","{""male"": 162.71, ""female"": 157.17}","{""male"": 305.0, ""female"": 267.0}","{""male"": 17.6, ""female"": 15.2}",1.0,,,1014.0,5.25,
336,Binjharpuri,Odisha,"Kendrapara,Bhadrak,Jajpur",85.40 - 86.44,20.43 - 21.,"{""2007"": ""67000"", ""2013"": ""79428""}",Deshi,"Indigenous breed. Named after the local area ""Binjharpur"" of Jajpur district in Orissa",Food-Milk; Work- Draught; Manure,Dual purpose breed,Whole Jajpur district and adjoining areas of Kendrapara and Bhadrak. Heavy concentration is in Bari  Binjharpur and Dasrathapur area of Jajpur district,,Extensive,Stationary,Grazing,Rice bran  water and paddy straw is provided to the animals in the morning  before the animals are let loose for grazing. Working bullocks are fed with Kurchi- a mixture of rice bran  wheat bran  kitchen waste and some quantity of rice warmed with water,,Curved upward and inward.Male: 21.17±2.86  Female: 12.70±1.31cm,Medium sized  strong dual type animal. Hump  neck  and some region of face and back are black in colour irrespective of coat colour in males,,"{""male"": 126.32, ""female"": 115.1}","{""male"": 144.2, ""female"": 136.2}","{""male"": 254.71, ""female"": 207.05}","{""male"": 19.42, ""female"": 17.83}",1.0,40.48,13.47,,,
349,Dagri,Gujarat,"Mahisager,Chhotaudepur,Narmada,Dahod,Godhara/Panch Mahals",73.55 - 77.45,22.22 - 23.23,"{""2012"": ""282000""}",Gujarat Malvi,Dagri in colloquial language means ‘Deshi’ or old or native,Draught,Mainly for draught purpose. However  it gives less amount of milk. Some cows are not milked by the farmers at all and milk suckled completely by male calf,"""",,Extensive,Stationary,Grazing and Fodder,Animals are taken to pastures during day time and generally maintained on grazing only. Either individual or community grazing is followed. These animals are usually housed at night under the dwelling-house. Fodder consists mainly of grasses carried from hillside and grassland by women. Male calves are nursed better and longer as compared to female calves. Animals are stall fed in the morning and in the night specifically during milking,,Horn are short  thin  curved upward in a lyre shaped or in straight fashion with pointed tip,Small sized animal with compact body and straight forehead. Body length is proportionally more than height,,"{""male"": 115.5, ""female"": 110.8}","{""male"": 134.4, ""female"": 128.9}","{""male"": 224.0, ""female"": 170.0}","{""male"": 16.75, ""female"": 13.0}",1.0,53.0,16.4,316.0,4.08,
304,Dangi,Gujarat,"The Dangs,Rohtak,Karnal,Ahmadnagar,Nashik,Thane",73.16 - 75.05,18.02 - 20.52,"{""2001"": ""108197"", ""2013"": ""119373""}",Kandadi.,In Marathi Dang means mountains and these animals are living in mountains. Hence these are called Dangi. Some believe that this originates from the Dangs district in Gujarat.The synonym name Kandadi suggests the origin of the breed from Karnataka.,Work - Draught; Food - milk,Dangi cattle are extensively used for ploughing  harrowing and other field operations  and also for carting timber from forest area. The breed is well known for its excellent working qualities in heavy rainfall areas  rice fields and hilly tracts.,Mostly found in the Akola taluka of Ahmadnagar district  Sinner and Igatpuri taluka of Nashik districts of Maharashtra and Dangs district of Gujarat. It is also found near by Thane district of Maharashtra. Generally these animals are found near the hilly tract where forest is available in the ranges of Sahyadri.,,Intensive,Nomadic,Grazing  Fodder and Concentrate,Dangi animals are hardy and subsist mostly on grazing alone. Dangi breeders are semi nomadic. They belong to Kanadi  Mahadeo Koli  Konkana  Thakar and Maratha communities  who practices seasonal migration and remain away from their villages for about 9 months in a year. During the hot dry season  the breeders migrate torwards coastal areas where grass  tree fodder and water are available to some extent.During the heavy rainfall  they settle down at the foot hills for protection from the cold draught.,,Horns are short (12-15 cm) and thick with lateral pointing tips Animals with inward and also with downward pointing horn tips are also available in sizable numbers.,Uneven distribution of black or red spots over the body. Forehead is slightly protruding.,,"{""male"": 129.0, ""female"": 122.0}","{""male"": 154.0, ""female"": 139.0}","{""male"": 317.0, ""female"": 228.0}","{""male"": 18.2, ""female"": 16.8}",,53.0,19.0,430.0,4.3,"They are well known for their hardiness and excellent working qualities in heavy rainfall areas, rice fields and hilly tract."
305,Deoni,Karnataka,"Bidar,Latur,Osmanabad,Nanded,Parbhani",75.16 - 78.15,17.35 - 20.01,"{""1997"": ""231206"", ""1999"": ""118945"", ""2013"": ""151236""}",Surti  Dongarpati  Dongri  Wannera  Waghyd  Balankya and Shevera.,Believed to have been developed from Gir cattle.This breed has drived its name from the habitat i.e. Deoni taluk of Latur district.,Work - Draught and Transport; Food - Milk,Deoni bullocks are preferred for heavy work. Deoni bullocks reach the maximum potentional at around 5 to 6 year of age and maintain it effectively up to 12 year of age.,The breeding tract lies in the Balaghat range of Sahyadri hills extending from Kannad taluk of Aurangabad to Deglur taluk of Marathwada region of Maharashtra state.The actual place of origin is Deoni  Udgir and Ahmadpur taluks of Latur district.,,Semi-Intensive,Stationary,Grazing and Concentrate,Animals are housed mostly in open houses. Most of the animals are given individual care. Calves are not weaned. Males are nursed better and longer as compared to female calves. Animals are taken to pastures during day time and generally maintained on grazing only. Bullocks  bull calves and milking females are given some crop residues and concentrate.,,Horn emerge from the side of the poll behind and above the eyes in out ward and upward direction. Horn size is small and the tips are blunt.,Black and white spotted body colour  drooping ears  prominent and slightly bulging forehead,,"{""male"": 135.1, ""female"": 120.1}","{""male"": 173.6, ""female"": 151.8}","{""male"": 590.0, ""female"": 340.0}","{""male"": 23.0, ""female"": 23.4}",,45.7,14.7,868.0,4.3,
342,Gangatiri,Bihar,"Bhojpur,Ballia,Ghazipur,Mirzapur,Varanasi",83.38 - 84.39,25.19 - 27.11,"{""2007"": ""375154""}",Eastern Hariana or Shahabadi,Derived the name from its habitat  in the area nearby river Ganga,Draught  milk and manure,Medium milk producer and possess good draftability,Ghazipur  Ballia  Varanasi  Mau  Mirzapur and adjoining districts of Uttar Pradesh and Bhabhua  Buxar and Bhojpur districts of Bihar,,Semi-Intensive,Stationary,Grazing Fodder and Concentrate,Developed mostly by small and marginal farmers of several communities like Yadav  Bhumihar  Brahmin  Rajbhar  Kshatriya  Patel  etc,,Medium sized. Emerges from side of the poll behind and above eyes in outward and curving upwards and inwards ending with pointed tips,Forehead is Prominent  straight and broad with shallow groove in the middle. Eyelids  muzzle  hooves and tail switch are generally black,,"{""male"": 119.37, ""female"": 110.12}","{""male"": 175.64, ""female"": 152.05}","{""male"": 340.0, ""female"": 235.0}","{""male"": 21.0, ""female"": 20.5}",1.0,46.98,15.59,1049.24,4.9,
